FID,X,Y,District,Country,Species
0,35.5428076,8.1791261,Ale,Ethiopia,Coffeearabica
1,35.5420763,8.1803492,Ale,Ethiopia,Coffeearabica
2,35.5383057,8.1825815,Ale,Ethiopia,Coffeearabica
3,35.5368705,8.1846657,Ale,Ethiopia,Coffeearabica
4,35.5356306,8.1848255,Ale,Ethiopia,Coffeearabica
5,35.5342011,8.1856216,Ale,Ethiopia,Coffeearabica
6,35.5334277,8.184817,Ale,Ethiopia,Coffeearabica
7,35.5335379,8.1837828,Ale,Ethiopia,Coffeearabica
8,35.534811,8.1828817,Ale,Ethiopia,Coffeearabica
9,35.5357025,8.1822896,Ale,Ethiopia,Coffeearabica
10,35.5366161,8.1816504,Ale,Ethiopia,Coffeearabica
11,35.5371825,8.1810307,Ale,Ethiopia,Coffeearabica
12,35.5380808,8.1804255,Ale,Ethiopia,Coffeearabica
13,35.5385041,8.1793151,Ale,Ethiopia,Coffeearabica
14,35.5393499,8.1781347,Ale,Ethiopia,Coffeearabica
15,35.539614,8.1762767,Ale,Ethiopia,Coffeearabica
16,35.5392794,8.1752238,Ale,Ethiopia,Coffeearabica
17,35.5399691,8.1745097,Ale,Ethiopia,Coffeearabica
18,35.540272,8.1728494,Ale,Ethiopia,Coffeearabica
19,35.5403819,8.1715908,Ale,Ethiopia,Coffeearabica
20,35.5410051,8.1730721,Ale,Ethiopia,Coffeearabica
21,35.5405705,8.1740445,Ale,Ethiopia,Coffeearabica
22,35.5407448,8.1751136,Ale,Ethiopia,Coffeearabica
23,35.541284,8.1727957,Ale,Ethiopia,Coffeearabica
24,35.5428263,8.1724168,Ale,Ethiopia,Coffeearabica
25,35.5428526,8.1714026,Ale,Ethiopia,Coffeearabica
26,35.5435227,8.1736058,Ale,Ethiopia,Coffeearabica
27,35.543109,8.1741468,Ale,Ethiopia,Coffeearabica
28,35.5447315,8.1669514,Ale,Ethiopia,Coffeearabica
29,35.5447391,8.1685705,Ale,Ethiopia,Coffeearabica
30,35.5435727,8.1700827,Ale,Ethiopia,Coffeearabica
31,35.5433582,8.1760723,Ale,Ethiopia,Coffeearabica
32,35.5438231,8.1792875,Ale,Ethiopia,Coffeearabica
